Monster Name	STR	DEX	CON	INT	WIS	CHA	AC	HP	Speed	Attack Actions	Special Abilities and Traits	CR	Size	Type	Alignment
000 Series Protocol Droid	10 (+0)	10 (+0)	12 (+1)	16 (+3)	12 (+1)	14 (+2)	11	27 (5d8 + 5)	25 ft.	Torturous Strike (+5, 1d4+3 damage + shock)	Circuitry, Targeting Systems, Techcasting	2	Medium	Droid (Class III)	Unaligned
1.4 FD P-Tower Turret	16 (+3)	4 (-3)	13 (+1)	18 (+4)	11 (+0)	4 (-3)	10	52 (8d10 + 8)	0 ft.	Laser Cannon (+5, 7d6+4 energy damage)	Circuitry, Fixed, Gunner, Targeting Systems	5	Large	Construct	Unaligned
3P0 Series Droid	10 (+0)	8 (-1)	11 (+0)	14 (+2)	12 (+1)	11 (+0)	10	18 (4d8)	25 ft.	None	Circuitry	0	Medium	Droid (Class III)	Unaligned
74-Z Speeder Bike	13 (+1)	17 (+3)	13 (+1)	10 (+0)	10 (+0)	7 (-2)	15	52 (8d10 + 8)	0 ft., fly 50 ft.	Blaster Cannons (+5, 1d10+3 energy damage)	Circuitry, Comm Jammers	2	Large	Construct	Unaligned
AAT	20 (+5)	22 (+6)	19 (+4)	10 (+0)	14 (+2)	7 (-2)	19	168 (16d12+64)	30 ft.	Medium Repeating Blasters (+10, 4d10+6 energy damage), Plasma Cannon (+9, 8d12 fire damage)	Circuitry, Damage Resistances, Damage Immunities, Condition Immunities	13	Huge	Construct	Unaligned
AT-AT	27 (+8)	14 (+2)	23 (+6)	14 (+2)	13 (+1)	9 (-1)	20	330 (20d20 + 120)	40 ft.	Heavy Laser Cannons (+14, 8d10+4 energy damage), Medium Laser Cannons (+11, 4d10+2 energy damage), Foot (+14, 4d8+4 kinetic damage)	Damage Vulnerabilities, Damage Resistances, Condition Immunities	19	Gargantuan	Construct	Unaligned
AT-RT	15 (+2)	16 (+3)	12 (+1)	10 (+0)	10 (+0)	7 (-2)	15	58 (9d10 + 9)	50 ft.	Twin Blaster Cannons (+5, 2d8+3 energy damage)	Circuitry	4	Large	Construct	Unaligned
AT-ST	18 (+4)	20 (+5)	19 (+4)	14 (+2)	13 (+1)	9 (-1)	18	262 (25d12 + 100)	40 ft.	Blaster Cannons (+9, 2d10+4 energy damage), Grenade Launcher (+9, 5d6 kinetic damage)	Damage Vulnerabilities, Damage Resistances, Condition Immunities	11	Huge	Construct	Unaligned
AT-TE	25 (+7)	16 (+3)	21 (+5)	10 (+0)	10 (+0)	7 (-2)	18	248 (16d20 + 80)	40 ft.	Mass Driver Cannon (+12, 8d12+4 kinetic damage), Repeating Blaster Cannons (+11, 4d10+3 energy damage)	Damage Resistances, Damage Immunities, Condition Immunities	18	Gargantuan	Construct	Unaligned
Acklay, Adolescent	19 (+4)	9 (-1)	17 (+3)	3 (-4)	11 (+0)	5 (-3)	13	95 (10d12 + 30)	40 ft., swim 40 ft.	Claws (+6, 1d10 + 4 kinetic damage)	Amphibious	5	Huge	Beast	Unaligned
