Species	Ability Score Increase(s)	Size	Speed	Source	Common Traits	Notable Sub-species/Variations	Cultural Notes (Examples)	Typical Classes	Languages	Vision
Abyssin	Constitution +2, Strength +1	Medium	30 ft.	UCSC	Darkvision, Natural Armor (+1 AC), Unblinking Gaze (Advantage vs. being blinded)	N/A	Known for their tough hides and resilience. Often seen as solitary and stoic individuals.	Warrior, Guardian	Galactic Basic, Abyssin	Darkvision (60 ft.)
Advozse	Intelligence +2, Wisdom +1	Medium	30 ft.	UCSC	Advozse Telepathy (Telepathic communication within 30 ft.), Keen Intellect (Investigation proficiency)	N/A	Highly intelligent and often contemplative. Their telepathic abilities shape their communication and social interactions.	Scholar, Consular	Galactic Basic, Advozse	Normal Vision
Aleena	Dexterity +2, Charisma +1	Small	35 ft.	UCSC	Aleena Agility (Advantage on Acrobatics), Natural Acrobat (Acrobatics proficiency)	N/A	Known for their exceptional agility and grace. Their culture often values physical dexterity and performance.	Operative, Scout	Galactic Basic, Aleena	Normal Vision
Anomid	Intelligence +2, Wisdom +1	Medium	30 ft.	UCSC	Anomid Communication (Subtle facial plate communication with other Anomids), Mental Resistance (Advantage vs. being charmed)	N/A	Quiet and thoughtful, relying on subtle communication. Often found in roles requiring patience and observation.	Scholar, Sentinel	Galactic Basic, Anomid	Normal Vision
Arcona	Strength +2, Constitution +1	Medium	30 ft., Swim 30 ft.	UCSC	Amphibious, Thick Hide (+1 AC)	N/A	Robust and adapted to aquatic environments. Often possess a straightforward and practical nature.	Warrior, Guardian	Galactic Basic, Arconese	Normal Vision
Ardennian	Dexterity +2, Intelligence +1	Small	25 ft., Climb 25 ft.	UCSC	Keen Smell (Advantage on Perception (smell)), Natural Climber (Climbing speed equals walking speed)	N/A	Agile and resourceful, with a strong sense of smell. Their small size and climbing ability often make them adept at navigating tight spaces.	Scout, Operative	Galactic Basic, Ardennian	Normal Vision
Arkanian	Intelligence +2, any one +1	Medium	30 ft.	UCSC	Arkanian Knowledge (Proficiency in Arcana, History, or Technology), Limited Telepathy (Project simple thoughts/emotions within 10 ft.)	Arkanian Offshoots	Highly intelligent and often possess a thirst for knowledge. Some Arkanians have a complex history with genetic manipulation and Force sensitivity.	Scholar, Engineer, Consular	Galactic Basic, Arkanian	Normal Vision
Balosar	Dexterity +2, Charisma +1	Medium	30 ft.	UCSC	Balosar Luck (Reroll failed Dexterity saving throw once per rest), Nimble Fingers (Advantage on Sleight of Hand checks)	N/A	Often possess a carefree and opportunistic attitude. Their dexterity and luck can make them skilled in various roguish pursuits.	Operative, Scoundrel	Galactic Basic, Balosar	Normal Vision
Barabel	Strength +2, Constitution +1	Medium	30 ft., Swim 30 ft.	UCSC	Natural Armor (+1 AC), Powerful Tail (Unarmed strikes with tail deal 1d4 bludgeoning, reach 5 ft.), Swift Swimmer (Swimming speed equals walking speed)	N/A	Fierce and territorial, with a strong connection to their aquatic homeworld. Often possess a strong sense of tradition.	Warrior, Guardian	Galactic Basic, Barabel	Normal Vision
Besalisk	Strength +2, Constitution +1	Medium	30 ft.	UCSC	Four Arms (Advantage on Strength (Athletics) checks to grapple, can wield two additional light weapons), Powerful Build (as Droid V)	N/A	Known for their physical strength and often employed in roles requiring heavy lifting or combat. Their four arms provide unique advantages.	Warrior, Guardian	Galactic Basic, Besalisk	Normal Vision
Bith	Intelligence +2, Dexterity +1	Medium	30 ft.	PHB	Darkvision, Keen Hearing, Musical Aptitude	N/A	Known for their artistic talents, particularly in music and mathematics. Often found in scholarly or technical professions.	Scholar, Engineer, Envoy	Galactic Basic, Bith	Darkvision (60 ft.)
Bothan	Intelligence +2, Dexterity +1	Medium	30 ft.	PHB	Natural Affinity (Persuasion or Deception), Bothan Insight	N/A	Renowned for their information networks and spycraft. Their society often values cunning and strategic thinking.	Operative, Scoundrel, Envoy	Galactic Basic, Bothan	Normal Vision
Caamasi	Wisdom +2, Intelligence +1	Medium	30 ft.	UCSC	Photographic Memory (Advantage on Intelligence checks to recall information), Precognitive Trance (Can enter a trance to gain insight, providing advantage on one attack roll, ability check, or saving throw per long rest)	N/A	Wise and contemplative, with exceptional memory and occasional glimpses into the future. Often serve as advisors or scholars.	Consular, Scholar	Galactic Basic, Caamasi	Normal Vision
Cathar	Dexterity +2, Charisma +1	Medium	30 ft.	PHB	Darkvision, Claws (1d4 slashing), Feline Agility (+10 ft. speed), Keen Senses (Perception proficiency)	N/A	Fierce warriors and skilled hunters with a strong sense of honor and loyalty. Often possess a regal bearing.	Guardian, Warrior, Scout	Galactic Basic, Cathar	Darkvision (60 ft.)
Cerean	Intelligence +2, Wisdom +1	Medium	30 ft.	PHB	Dual Brains (Advantage vs. charmed/frightened), Cerean Resolve (Advantage on Wisdom saves)	N/A	Known for their intellectual prowess and calm demeanor. Their dual brains allow for complex thought processes.	Scholar, Consular, Sentinel	Galactic Basic, Cerean	Normal Vision
Chadra-Fan	Dexterity +2, Wisdom +1	Small	25 ft., Climb 25 ft.	UCSC	Darkvision, Nimble Escape (Disengage as a bonus action), Wall Clinger (Climbing speed equals walking speed on vertical surfaces)	N/A	Agile and resourceful, adapted to living in dense, vertical environments. Often possess a curious and adventurous nature.	Scout, Operative	Galactic Basic, Chadra-Fan	Darkvision (60 ft.)
Chagrian	Constitution +2, Wisdom +1	Medium	30 ft., Swim 30 ft.	UCSC	Amphibious, Natural Armor (+1 AC)	N/A	Calm and patient, with a natural affinity for aquatic environments. Often possess a philosophical outlook.	Consular, Guardian	Galactic Basic, Chagrian	Normal Vision
Chevin	Strength +2, Constitution +1	Medium	30 ft.	UCSC	Powerful Build (as Droid V), Relentless Endurance (When reduced to 0 HP but not killed, can drop to 1 HP once per long rest)	N/A	Physically imposing and resilient, often found in roles requiring strength and endurance. Can be stubborn and determined.	Warrior, Guardian	Galactic Basic, Chevin	Normal Vision
Chiss	Intelligence +2, Charisma +1	Medium	30 ft.	PHB	Darkvision, Superior Darkvision (60 ft.), Chiss Tactics (Reroll missed attack once per rest)	N/A	Disciplined and strategic thinkers with a strong emphasis on order and tradition. Often associated with military or leadership roles.	Officer, Engineer, Consular	Galactic Basic, Cheunh	Superior Darkvision (60 ft.)
Clawdite	Dexterity +2, Charisma +1	Medium	30 ft.	UCSC	Shapechanger (As an action, can polymorph into any Medium or Small humanoid they have seen, or back to their true form. Stats remain the same)	N/A	Masters of disguise and infiltration. Their shapeshifting abilities make them ideal for espionage and subterfuge. Often viewed with suspicion by other species.	Operative, Scoundrel	Galactic Basic, Clawdite	Normal Vision
Codru-Ji	Intelligence +2, Charisma +1	Medium	30 ft.	UCSC	Four Eyes (Advantage on Wisdom (Perception) checks relying on sight), Keen Sight (Perception proficiency)	N/A	Known for their keen eyesight and often possess a perceptive and observant nature. Their four eyes are a distinctive feature.	Scholar, Envoy	Galactic Basic, Codruese	Normal Vision
Colicoid	Strength +2, Constitution +1	Medium	30 ft.	UCSC	Natural Armor (+2 AC), Powerful Legs (Advantage on Strength (Athletics) checks to jump)	N/A	Physically tough and often found in roles requiring strength and resilience. Their powerful legs allow for impressive leaps.	Warrior, Guardian	Galactic Basic, Colicoid	Normal Vision
Dashade	Dexterity +2, Wisdom +1	Medium	30 ft.	UCSC	Shadowmeld (Advantage on Dexterity (Stealth) checks in dim light or darkness), Unnatural Presence (Advantage on Intimidation checks)	N/A	Mysterious and often unsettling to other species. Their connection to shadow can make them skilled infiltrators.	Operative, Sentinel	Galactic Basic, Dashade	Darkvision (60 ft.)
Defel	Dexterity +2, Charisma +1	Medium	30 ft.	UCSC	Darkvision, Shadow Blend (Advantage on Stealth checks in dim light or darkness), Silent Movement (Stealth proficiency)	N/A	Nocturnal and stealthy, often preferring dimly lit environments. Their ability to blend into shadows makes them excellent spies or assassins.	Operative, Scoundrel	Galactic Basic, Defel	Darkvision (60 ft.)
Devaronian	Constitution +2, Charisma +1	Medium	30 ft.	PHB	Darkvision, Horns (1d4 bludgeoning), Devaronian Ferocity (Drop to 1 HP instead of 0 once per rest)	N/A	Known for their distinctive horns and often seen as charismatic and sometimes hot-headed. Male and female Devaronians have distinct appearances.	Scoundrel, Envoy, Warrior	Galactic Basic, Devaronian	Darkvision (60 ft.)
Diathim	Wisdom +2, Charisma +1	Medium	30 ft., Fly 30 ft. (hover)	UCSC	Bioluminescence (Can emit dim light in a 10-foot radius as a bonus action), Empathic Connection (Advantage on Wisdom (Insight) checks)	N/A	Peaceful and empathetic, with a natural ability to sense the emotions of others. Their bioluminescence is a unique trait.	Consular, Envoy	Galactic Basic, Diathim	Normal Vision
Draethos	Intelligence +2, Charisma +1	Medium	30 ft.	UCSC	Enhanced Senses (Advantage on Wisdom (Perception) checks), Natural Illusionist (Deception proficiency)	N/A	Perceptive and often skilled in deception and illusion. Their enhanced senses make them observant.	Operative, Envoy	Galactic Basic, Draethos	Normal Vision
Droid, Class I	Intelligence +2, Wisdom or Charisma +1	Medium	30 ft.	PHB	Constructed (Immunity: disease, poison; Resistance: poison; No eat/drink/breathe/sleep; Immune to sleep effects), Droid Resilience (Advantage vs. poisoned), Integrated Tool (Proficiency with one tool)	Protocol Droids	Designed for social interaction, etiquette, and translation. Often possess vast databases of cultural information.	Envoy, Scholar	Galactic Basic plus one of choice	Normal Vision
Droid, Class II	Intelligence +2, Dexterity or Wisdom +1	Small	30 ft.	PHB	Constructed (as Class I), Droid Resilience (as Class I), Nimble (Advantage on Dexterity saves)	Astromech Droids	Versatile utility droids specializing in technical support, navigation, and repair. Often equipped with various tools and attachments.	Engineer, Scout	Galactic Basic plus one of choice	Normal Vision
